AC Name,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Gadwara,101,GEN,Raja Ram,Lok Jan Shakti Party,229142,117512,51.3 %,2603,2.2%
Pratapgarh,102,GEN,Hari Pratap Singh,Bharatiya Janta Party,251936,126746,50.3 %,2471,1.9%
Birapur,103,GEN,Prof. Shivkant Ojha,Bharatiya Janta Party,269986,144514,53.5 %,25284,17.5%
Patti,104,GEN,Rajendra Pratap Singh Alias Moti Singh,Bharatiya Janta Party,267836,153633,57.4 %,20764,13.5%
Amethi,105,GEN,Amita Singh,Bharatiya Janta Party,237053,132510,55.9 %,18765,14.2%
Gauriganj,106,GEN,Noor Mohammad,Indian National Congress,229276,131863,57.5 %,267,0.2%
Jagdishpur,107,SC,Ram Sewak,Indian National Congress,214142,110945,51.8 %,8419,7.6%
Issauli,108,GEN,Chandra Bhadra Singh,Samajwadi Party,226154,122747,54.3 %,25561,20.8%
Sultanpur,109,GEN,Om Prakash Pandey,Bharatiya Janta Party,281939,129598,46.0 %,5186,4.0%
Jaisinghpur,110,GEN,Om Prakash ( O.P. Singh ),Bahujan Samaj Party,244150,137978,56.5 %,6765,4.9%
Chanda,111,GEN,Anil Kumar Pandey,Samajwadi Party,250862,136736,54.5 %,1447,1.1%
Kadipur,112,SC,Bhagelu Ram,Bahujan Samaj Party,263769,147745,56.0 %,6457,4.4%
