ac name,ac no,type,district,winning candidate,party,total electors,total votes,poll%,margin,margin %,father/husband name,gender,age,UID
Machhlishahr,369,SC,Jaunpur,Dr. Ragini,Samajwadi Party,404206,217114,53.70%,8484,3.90%,,,,UP2022AC369
Mariyahu,370,GEN,Jaunpur,Dr R.K. Patel,Apna Dal (Soneylal),339106,192233,56.70%,1206,0.60%,SARNAM PATEL,male,51.0,UP2022AC370
Zafrabad,371,GEN,Jaunpur,Jagdish Narayan,Suheldev Bharatiya Samaj Party,400989,221801,55.30%,6292,2.80%,DURGA NARAYAN,male,66.0,UP2022AC371
Kerakat,372,SC,Jaunpur,Tufani Saroj,Samajwadi Party,427505,238111,55.70%,9844,4.10%,Jangi Saroj,male,52.0,UP2022AC372
Jakhanian,373,SC,Ghazipur,Bedi,Suheldev Bharatiya Samaj Party,419383,253064,60.30%,36865,14.60%,MANNU,male,62.0,UP2022AC373
Saidpur,374,SC,Ghazipur,Ankit Bharti,Samajwadi Party,407080,234738,57.70%,36635,15.60%,OMPRAKASH BHARTI,male,25.0,UP2022AC374
Ghazipur,375,GEN,Ghazipur,Jaikishan,Samajwadi Party,418071,226174,54.10%,1692,0.70%,LATE. RAMNATH,male,60.0,UP2022AC375
Jangipur,376,GEN,Ghazipur,Virendra Kumar Yadav,Samajwadi Party,431178,229296,53.20%,35063,15.30%,KAILASH YADAV,male,40.0,UP2022AC376
Zahoorabad,377,GEN,Ghazipur,Om Prakash Rajbhar,Suheldev Bharatiya Samaj Party,418881,245432,58.60%,45632,18.60%,SANNOO RAJBHAR,male,55.0,UP2022AC377
Mohammadabad,378,GEN,Ghazipur,Suhaib Alias Mannu Ansari,Samajwadi Party,439667,244647,55.60%,18759,7.70%,SIBGHATULLAH,male,31.0,UP2022AC378
Zamania,379,GEN,Ghazipur,Om Prakash,Samajwadi Party,434861,231715,53.30%,22456,9.70%,,,,UP2022AC379
Mughalsarai,380,GEN,Chandauli,Ramesh Jaiswal,Bharatiya Janta Party,401793,239376,59.60%,14921,6.20%,MITHAI LAL JAISWAL,male,44.0,UP2022AC380
Sakaldiha,381,GEN,Chandauli,Prabhu Narayan Yadav,Samajwadi Party,347051,210551,60.70%,16661,7.90%,,,,UP2022AC381
Saiyadraja,382,GEN,Chandauli,Sushil Singh,Bharatiya Janta Party,343187,208384,60.70%,10917,5.20%,UDAYNATH,male,43.0,UP2022AC382
Chakia,383,SC,Chandauli,Kailash,Bharatiya Janta Party,376497,244283,64.90%,9251,3.80%,,,,UP2022AC383
Pindra,384,GEN,Varanasi,Awadhesh Kumar Singh,Bharatiya Janta Party,373808,217971,58.30%,35559,16.30%,,,,UP2022AC384
Ajagara,385,SC,Varanasi,Tribhuwan Ram,Bharatiya Janta Party,374215,243004,64.90%,9160,3.80%,K.B. RAM,male,73.0,UP2022AC385
Shivpur,386,GEN,Varanasi,Anil Rajbhar,Bharatiya Janta Party,374800,249496,66.60%,27687,11.10%,Ramajit,male,49.0,UP2022AC386
Rohaniya,387,GEN,Varanasi,Dr. Sunil Patel,Apna Dal (Soneylal),408665,243826,59.70%,46472,19.10%,BANARASI,male,48.0,UP2022AC387
Varanasi North,388,GEN,Varanasi,Ravindra Jaiswal,Bharatiya Janta Party,429112,244693,57.00%,40776,16.70%,Late Rama Shankar Jaiswal,male,55.0,UP2022AC388
Varanasi South,389,GEN,Varanasi,Dr. Neelkanth Tiwari,Bharatiya Janta Party,323392,194844,60.30%,10722,5.50%,Onkar Nath Tiwari,male,50.0,UP2022AC389
Varanasi Cantt.,390,GEN,Varanasi,Saurabh Srivastava,Bharatiya Janta Party,458827,242299,52.80%,86844,35.80%,,,,UP2022AC390
Sevapuri,391,GEN,Varanasi,Neel Ratan Singh,Bharatiya Janta Party,345495,219323,63.50%,22531,10.30%,Harishchandra Singh,male,50.0,UP2022AC391
Bhadohi,392,GEN,S.R.Nagar(Bhadohi),Zahid,Samajwadi Party,430402,248224,57.70%,4885,2.00%,YUSUF,male,57.0,UP2022AC392
Gyanpur,393,GEN,S.R.Nagar(Bhadohi),Vipul Dubey,Nirbal Indian Shoshit Hamara Aam Dal,398618,212785,53.40%,6231,2.90%,RAM SAGAR,male,40.0,UP2022AC393
Aurai,394,SC,S.R.Nagar(Bhadohi),Dinanath Bhashkar,Bharatiya Janta Party,378996,222540,58.70%,1647,0.70%,Molu Pahalwan,male,58.0,UP2022AC394
Chhanbey,395,SC,Mirzapur,Rahul Prakash Kol,Apna Dal (Soneylal),384425,213515,55.50%,38113,17.90%,PAKAUDI LAL KOL,male,38.0,UP2022AC395
Mirzapur,396,GEN,Mirzapur,Ratnakar Mishra,Bharatiya Janta Party,412293,225993,54.80%,39876,17.60%,LATE ALABELE,male,63.0,UP2022AC396
Majhawan,397,GEN,Mirzapur,Dr. Vinod Kumar Bind,Nirbal Indian Shoshit Hamara Aam Dal,407220,242645,59.60%,33587,13.80%,SACHANU RAM,male,48.0,UP2022AC397
Chunar,398,GEN,Mirzapur,Anurag Singh,Bharatiya Janta Party,363794,216902,59.60%,47614,22.00%,OM PRAKASH SINGH,male,51.0,UP2022AC398
Marihan,399,GEN,Mirzapur,Rama Shankar Singh,Bharatiya Janta Party,380293,234556,61.70%,62911,26.80%,LATE SHIV PRASAD SINGH,male,52.0,UP2022AC399
Ghorawal,400,GEN,Sonbhadra,Dr. Anil Kumar Maurya,Bharatiya Janta Party,395860,245860,62.10%,23922,9.70%,Late Shriram Maurya,male,52.0,UP2022AC400
Robertsganj,401,GEN,Sonbhadra,Bhupesh Chaubey,Bharatiya Janta Party,339359,206112,60.70%,5621,2.70%,Gorakhnath Chaubey,male,46.0,UP2022AC401
Obra,402,GEN,Sonbhadra,Sanjeev Kumar,Bharatiya Janta Party,311333,160062,51.40%,26442,16.50%,,,,UP2022AC402
Duddhi,403,SC,Sonbhadra,Ramdular,Bharatiya Janta Party,315052,199713,63.40%,6297,3.20%,LATE. RAMDHANI,male,49.0,UP2022AC403
